Transaction ID,Fraud Risk Score,Risk Category,Predicted Typology,Typology Probability Distribution,Key Risk Drivers
TXNJV4Y881GGANCEJP4,0.32,Low Risk,Money Mule Network,"{'Money Mule Network': 37.71, 'Third-Party Payment Web': 22.48, 'Circular Transaction Loop': 13.57}",transaction_mode_channel_bank (-0.83) | transaction_amount (0.63) | transaction_status (0.39)
TXNLJA6DGTT5TCT220I,87.31,Critical Risk,Charity Abuse,"{'Charity Abuse': 33.86, 'Money Mule Network': 33.46, 'Third-Party Payment Web': 25.33}",transaction_amount (0.79) | transaction_mode_channel_bank (0.48) | transaction_status (0.43)
TXNFLP1C4WL5WFN2ZP2,94.66,Critical Risk,Money Mule Network,"{'Money Mule Network': 31.89, 'Rapid Multi-Hop Layering': 29.18, 'Funnel Account Network': 17.52}",transaction_amount (0.88) | transaction_mode_channel_bank (0.51) | transaction_status (0.44)
TXNBOJG5LDUCORE6LKG,96.42,Critical Risk,Money Mule Network,"{'Money Mule Network': 32.31, 'Funnel Account Network': 26.45, 'Rapid Multi-Hop Layering': 19.55}",transaction_amount (0.80) | cp_fraud_rate_hist (0.54) | transaction_mode_channel_bank (0.46)
TXNMF7KTWE6NZ87OO8S,0.08,Low Risk,Funnel Account Network,"{'Funnel Account Network': 44.55, 'Structuring (Smurfing)': 32.32, 'Charity Abuse': 10.54}",transaction_amount (-1.19) | transaction_mode_channel_bank (-0.33) | transaction_status (0.31)
TXNYMXQJA0W10YW0FW4,30.28,High Risk,Circular Transaction Loop,"{'Circular Transaction Loop': 49.78, 'Money Mule Network': 13.11, 'Funnel Account Network': 12.82}",transaction_amount (0.65) | cp_fraud_rate_hist (0.55) | transaction_mode_channel_bank (0.46)
TXNIUOSOQQS0NCCE5A2,88.31,Critical Risk,Funnel Account Network,"{'Funnel Account Network': 44.14, 'Rapid Multi-Hop Layering': 29.16, 'Circular Transaction Loop': 10.95}",transaction_amount (1.96) | transaction_mode_channel_bank (0.38) | transaction_status (0.36)
TXNRX5NQAEQZDGXER5T,0.03,Low Risk,Funnel Account Network,"{'Funnel Account Network': 46.91, 'Rapid Multi-Hop Layering': 22.69, 'Money Mule Network': 20.9}",transaction_amount (0.65) | hr (-0.53) | transaction_status (0.38)
TXNV1NLVQ8W97ZV2Y4M,0.01,Low Risk,Funnel Account Network,"{'Funnel Account Network': 40.37, 'Rapid Multi-Hop Layering': 31.58, 'Money Mule Network': 22.14}",hr (-0.69) | transaction_amount (0.63) | transaction_status (0.40)
TXNR028F5GEINY217QI,80.65,Critical Risk,Funnel Account Network,"{'Funnel Account Network': 48.29, 'Charity Abuse': 26.43, 'Rapid Multi-Hop Layering': 10.44}",transaction_amount (0.59) | cp_fraud_rate_hist (0.56) | transaction_mode_channel_bank (0.48)
TXN7BF5ABSBD1KTX147,0.39,Low Risk,Rapid Multi-Hop Layering,"{'Rapid Multi-Hop Layering': 39.5, 'Money Mule Network': 38.34, 'Circular Transaction Loop': 14.26}",transaction_amount (0.85) | hr (-0.48) | transaction_status (0.40)
TXNDL4CCY8WSISHZIJQ,5.33,Low Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 26.65, 'Rapid Multi-Hop Layering': 18.01, 'Funnel Account Network': 16.47}",transaction_amount (0.72) | transaction_status (0.42) | transaction_mode_channel_bank (0.36)
TXNPAMFCXU0DIN4YAWH,0.0,Low Risk,Funnel Account Network,"{'Funnel Account Network': 82.81, 'Charity Abuse': 16.12, 'Structuring (Smurfing)': 0.68}",transaction_amount (-1.45) | acct_fraud_rate_hist (0.53) | transaction_status (0.35)
TXN41P22EWKMR0I2B2I,0.11,Low Risk,Money Mule Network,"{'Money Mule Network': 44.95, 'Circular Transaction Loop': 31.67, 'Third-Party Payment Web': 8.39}",transaction_amount (0.64) | cp_fraud_rate_hist (-0.51) | transaction_mode_channel_bank (0.46)
TXNZ1GLDFD1XGIE6XS8,0.01,Low Risk,Structuring (Smurfing),"{'Structuring (Smurfing)': 76.82, 'Funnel Account Network': 11.78, 'Charity Abuse': 10.61}",transaction_amount (-1.44) | transaction_status (0.34) | community_risk_x_amount (-0.19)
TXN2B39T1OVEQPCHGGZ,0.0,Low Risk,Funnel Account Network,"{'Funnel Account Network': 77.26, 'Charity Abuse': 14.17, 'Pass-Through Transit Hub': 4.32}",acct_fraud_rate_hist (0.95) | transaction_amount (-0.86) | sender_acct_outflow_amt_7d (0.48)
TXNE84T7Y4139338NRQ,0.01,Low Risk,Funnel Account Network,"{'Funnel Account Network': 79.14, 'Charity Abuse': 16.78, 'Structuring (Smurfing)': 2.21}",transaction_amount (-0.90) | acct_fraud_rate_hist (0.72) | transaction_status (0.34)
TXN7D7BMGXNX2OCPA32,0.98,Low Risk,Circular Transaction Loop,"{'Circular Transaction Loop': 62.86, 'Rapid Multi-Hop Layering': 22.31, 'Money Mule Network': 11.63}",transaction_amount (0.60) | acct_fraud_rate_hist (0.42) | transaction_status (0.41)
TXNLH4A0TN7MBATMLBR,77.33,Critical Risk,Funnel Account Network,"{'Funnel Account Network': 41.44, 'Money Mule Network': 17.9, 'Charity Abuse': 15.05}",transaction_amount (0.54) | transaction_mode_channel_bank (0.49) | transaction_status (0.45)
TXNJ4KC8653UYGJBEBF,0.08,Low Risk,Structuring (Smurfing),"{'Structuring (Smurfing)': 53.98, 'Funnel Account Network': 31.2, 'Charity Abuse': 10.7}",transaction_amount (-1.24) | transaction_status (0.33) | cp_fraud_rate_hist (-0.31)
TXN50AXHOMXQ6WUM6IC,18.17,Medium Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 76.92, 'Money Mule Network': 9.59, 'Funnel Account Network': 4.03}",transaction_amount (0.81) | transaction_mode_channel_bank (0.56) | transaction_status (0.43)
TXNVUXY4H603AUN2WLH,0.15,Low Risk,Charity Abuse,"{'Charity Abuse': 59.01, 'Funnel Account Network': 34.52, 'Structuring (Smurfing)': 5.97}",transaction_status (-4.93) | transaction_amount (-0.75) | rule_attempted_failed (-0.28)
TXNQBXSTYC5MN98N43N,2.11,Low Risk,Money Mule Network,"{'Money Mule Network': 41.21, 'Circular Transaction Loop': 26.46, 'Funnel Account Network': 17.62}",transaction_amount (0.56) | cp_fraud_rate_hist (-0.51) | acct_fraud_rate_hist (0.48)
TXNR4YKY2D3AZRAHAZA,0.0,Low Risk,Funnel Account Network,"{'Funnel Account Network': 72.05, 'Charity Abuse': 27.93, 'Money Mule Network': 0.01}",cp_fraud_rate_hist (1.01) | transaction_amount (-0.64) | cp_degree_centrality (0.50)
TXNYJST06T7V6CNYZNK,0.91,Low Risk,Funnel Account Network,"{'Funnel Account Network': 42.93, 'Charity Abuse': 40.49, 'Pass-Through Transit Hub': 15.1}",acct_fraud_rate_hist (1.00) | transaction_amount (-0.84) | sender_acct_outflow_amt_7d (0.58)
TXNLH0F9CVQAB04W7TO,0.09,Low Risk,Funnel Account Network,"{'Funnel Account Network': 54.27, 'Structuring (Smurfing)': 37.79, 'Charity Abuse': 7.23}",transaction_amount (-0.93) | transaction_mode_channel_bank (-0.35) | transaction_status (0.33)
TXNOTYMOTELEKVX776L,0.0,Low Risk,Structuring (Smurfing),"{'Structuring (Smurfing)': 60.18, 'Third-Party Payment Web': 14.66, 'Charity Abuse': 13.02}",cp_fraud_rate_hist (-0.69) | transaction_status (0.37) | cp_degree_centrality (-0.22)
TXN4GCN6HCO0AUR8DNJ,0.0,Low Risk,Funnel Account Network,"{'Funnel Account Network': 82.7, 'Charity Abuse': 16.24, 'Pass-Through Transit Hub': 0.56}",acct_fraud_rate_hist (0.54) | transaction_amount (-0.51) | transaction_mode_channel_bank (-0.47)
TXNMP9T9KJQD64M547B,96.84,Critical Risk,Charity Abuse,"{'Charity Abuse': 82.6, 'Funnel Account Network': 15.95, 'Money Mule Network': 0.61}",cp_fraud_rate_hist (0.90) | transaction_status (0.44) | transaction_mode_channel_bank (0.43)
TXNOQWXKFN8BEHB0FCQ,0.01,Low Risk,Funnel Account Network,"{'Funnel Account Network': 51.27, 'Charity Abuse': 40.9, 'Structuring (Smurfing)': 4.77}",cp_fraud_rate_hist (-0.55) | acct_fraud_rate_hist (0.50) | transaction_status (0.37)
TXNX9KQULK4RKUF6I8D,0.02,Low Risk,Money Mule Network,"{'Money Mule Network': 51.53, 'Rapid Multi-Hop Layering': 32.38, 'Funnel Account Network': 11.36}",transaction_amount (0.49) | sender_running_balance_txn_amount (-0.46) | transaction_status (0.43)
TXNWIUORRZDVND0K06T,0.06,Low Risk,Structuring (Smurfing),"{'Structuring (Smurfing)': 66.45, 'Funnel Account Network': 20.05, 'Charity Abuse': 11.94}",transaction_amount (-1.39) | transaction_status (0.33) | cp_fraud_rate_hist (-0.31)
TXNPPKAPKQ360W3RHKL,0.08,Low Risk,Money Mule Network,"{'Money Mule Network': 38.65, 'Funnel Account Network': 23.56, 'Charity Abuse': 12.97}",transaction_amount (0.41) | transaction_status (0.39) | sender_running_balance_txn_amount (-0.30)
TXNR1XOMHCCW34WDFUV,0.02,Low Risk,Funnel Account Network,"{'Funnel Account Network': 63.98, 'Charity Abuse': 24.52, 'Structuring (Smurfing)': 10.07}",transaction_amount (-1.16) | acct_fraud_rate_hist (0.71) | transaction_status (0.35)
TXNASC3Q1TR9R3P62PP,0.01,Low Risk,Funnel Account Network,"{'Funnel Account Network': 53.4, 'Charity Abuse': 44.78, 'Structuring (Smurfing)': 1.74}",transaction_amount (-1.32) | transaction_status (0.34) | transaction_mode_channel_bank (-0.24)
TXN6LMVHXCL3TWIQHIF,12.24,Low Risk,Circular Transaction Loop,"{'Circular Transaction Loop': 43.61, 'Money Mule Network': 17.32, 'Rapid Multi-Hop Layering': 13.75}",transaction_amount (0.67) | acct_fraud_rate_hist (0.50) | transaction_status (0.42)
TXN1QPRKMIFO610FBIQ,0.14,Low Risk,Funnel Account Network,"{'Funnel Account Network': 58.31, 'Charity Abuse': 41.17, 'Structuring (Smurfing)': 0.34}",transaction_status (-4.95) | transaction_amount (-0.74) | cp_fraud_rate_hist (0.29)
TXNOE720RYZQZ3WSUJQ,0.14,Low Risk,Money Mule Network,"{'Money Mule Network': 24.78, 'Charity Abuse': 23.7, 'Funnel Account Network': 22.23}",transaction_amount (0.55) | cp_fraud_rate_hist (-0.44) | acct_fraud_rate_hist (0.42)
TXNPZUG77VJQ5LGU9K2,0.09,Low Risk,Funnel Account Network,"{'Funnel Account Network': 54.24, 'Structuring (Smurfing)': 31.96, 'Charity Abuse': 11.83}",transaction_amount (-0.98) | transaction_status (0.32) | cp_fraud_rate_hist (-0.32)
TXNW0PRD9QG4QTH10MK,2.31,Low Risk,Money Mule Network,"{'Money Mule Network': 30.22, 'Circular Transaction Loop': 23.1, 'Charity Abuse': 17.47}",transaction_amount (0.79) | transaction_status (0.42) | sender_running_balance_txn_amount (-0.37)
TXN022OI7MJH5UTG8B3,0.0,Low Risk,Charity Abuse,"{'Charity Abuse': 81.34, 'Funnel Account Network': 18.28, 'Third-Party Payment Web': 0.26}",transaction_amount (-1.29) | cp_fraud_rate_hist (0.66) | acct_fraud_rate_hist (0.49)
TXNFLO7LRYSTWUTSJHL,0.12,Low Risk,Funnel Account Network,"{'Funnel Account Network': 52.65, 'Charity Abuse': 41.91, 'Structuring (Smurfing)': 3.64}",transaction_amount (-1.24) | acct_fraud_rate_hist (0.68) | transaction_status (0.35)
TXNYVFH8UWUUXG573U3,0.0,Low Risk,Funnel Account Network,"{'Funnel Account Network': 55.63, 'Charity Abuse': 43.56, 'Structuring (Smurfing)': 0.39}",transaction_amount (-1.15) | acct_fraud_rate_hist (0.62) | transaction_status (0.35)
TXNI5D75KVXTQ61SI8M,0.02,Low Risk,Funnel Account Network,"{'Funnel Account Network': 50.17, 'Charity Abuse': 35.04, 'Structuring (Smurfing)': 13.99}",transaction_amount (-0.99) | acct_fraud_rate_hist (0.76) | transaction_status (0.34)
TXNZ7TWZGSSXLPSXB8N,0.01,Low Risk,Money Mule Network,"{'Money Mule Network': 42.67, 'Rapid Multi-Hop Layering': 14.91, 'Charity Abuse': 14.16}",cp_fraud_rate_hist (-0.52) | transaction_amount (0.44) | transaction_status (0.38)
TXNBWN3QYLH2IHPNTA1,19.49,Medium Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 38.94, 'Charity Abuse': 21.48, 'Circular Transaction Loop': 19.76}",transaction_amount (0.77) | transaction_mode_channel_bank (0.52) | transaction_status (0.44)
TXNJW4SBHZANUXDAWHO,0.02,Low Risk,Funnel Account Network,"{'Funnel Account Network': 59.73, 'Charity Abuse': 35.0, 'Structuring (Smurfing)': 4.95}",transaction_amount (-1.10) | acct_fraud_rate_hist (0.74) | transaction_status (0.35)
TXNXJM4USJYBIIRWQB5,0.03,Low Risk,Rapid Multi-Hop Layering,"{'Rapid Multi-Hop Layering': 39.0, 'Money Mule Network': 38.46, 'Funnel Account Network': 17.86}",transaction_amount (0.53) | transaction_status (0.36) | hr (-0.35)
TXNOZ3R3YZURDJXS63S,0.01,Low Risk,Funnel Account Network,"{'Funnel Account Network': 47.72, 'Money Mule Network': 29.43, 'Rapid Multi-Hop Layering': 14.9}",sender_running_balance_txn_amount (-0.50) | transaction_amount (0.45) | hr (-0.44)
TXNXOGED3810HTQZKE9,0.07,Low Risk,Money Mule Network,"{'Money Mule Network': 45.7, 'Funnel Account Network': 19.69, 'Circular Transaction Loop': 17.43}",transaction_amount (0.69) | acct_fraud_rate_hist (0.41) | hr (-0.41)
TXN8FCI35LLIOYCBVVG,4.22,Low Risk,Money Mule Network,"{'Money Mule Network': 35.28, 'Circular Transaction Loop': 23.68, 'Charity Abuse': 12.63}",transaction_amount (0.61) | transaction_status (0.42) | sender_running_balance_txn_amount (-0.40)
TXN7V9OK2TBAI81JENZ,0.01,Low Risk,Circular Transaction Loop,"{'Circular Transaction Loop': 33.5, 'Funnel Account Network': 27.74, 'Rapid Multi-Hop Layering': 21.75}",transaction_mode_channel_bank (-0.62) | transaction_amount (0.55) | transaction_status (0.41)
TXN56XQW9ST553OHI5N,5.24,Low Risk,Charity Abuse,"{'Charity Abuse': 58.23, 'Funnel Account Network': 26.01, 'Money Mule Network': 6.59}",acct_fraud_rate_hist (0.59) | cp_fraud_rate_hist (0.57) | transaction_status (0.38)
TXNYA4SLP7MEOEK8ENF,0.04,Low Risk,Funnel Account Network,"{'Funnel Account Network': 64.12, 'Rapid Multi-Hop Layering': 14.05, 'Money Mule Network': 11.85}",transaction_mode_channel_bank (-0.79) | transaction_amount (0.67) | transaction_status (0.41)
TXN50K3709IC1KIG5W4,0.0,Low Risk,Funnel Account Network,"{'Funnel Account Network': 73.17, 'Charity Abuse': 26.33, 'Structuring (Smurfing)': 0.34}",transaction_amount (-1.15) | acct_fraud_rate_hist (0.69) | transaction_status (0.34)
TXNOECARAQAM1P54ZN7,80.21,Critical Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 56.94, 'Circular Transaction Loop': 18.14, 'Money Mule Network': 12.23}",transaction_amount (0.82) | transaction_mode_channel_bank (0.55) | transaction_status (0.43)
TXNZW6ORFJCW98VY1CK,3.28,Low Risk,Money Mule Network,"{'Money Mule Network': 51.67, 'Circular Transaction Loop': 22.78, 'Charity Abuse': 17.11}",transaction_amount (0.72) | cp_fraud_rate_hist (0.49) | transaction_status (0.43)
TXN4FK88YWGOUJWKWFQ,0.01,Low Risk,Circular Transaction Loop,"{'Circular Transaction Loop': 44.55, 'Rapid Multi-Hop Layering': 19.97, 'Money Mule Network': 19.46}",transaction_amount (0.55) | acct_fraud_rate_hist (0.51) | cp_fraud_rate_hist (-0.50)
TXN6EBH8WF0JQ28X4SP,0.05,Low Risk,Charity Abuse,"{'Charity Abuse': 33.3, 'Circular Transaction Loop': 24.2, 'Funnel Account Network': 21.37}",transaction_amount (0.44) | transaction_status (0.40) | cp_fraud_rate_hist (-0.38)
TXNR12AHWQYVKMET3GT,7.29,Low Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 42.52, 'Charity Abuse': 37.21, 'Funnel Account Network': 9.05}",transaction_mode_channel_bank (0.57) | transaction_amount (0.52) | transaction_status (0.41)
TXNS5BAE0KFWMU2RV6O,4.76,Low Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 55.14, 'Money Mule Network': 27.07, 'Funnel Account Network': 7.28}",transaction_amount (0.77) | transaction_mode_channel_bank (0.44) | transaction_status (0.44)
TXN7Y0L0Y0AXY085ODA,0.01,Low Risk,Funnel Account Network,"{'Funnel Account Network': 61.96, 'Charity Abuse': 36.76, 'Circular Transaction Loop': 0.35}",transaction_amount (-1.34) | acct_fraud_rate_hist (0.60) | transaction_status (0.34)
TXN3E61QB7P5RRWCTRB,0.0,Low Risk,Charity Abuse,"{'Charity Abuse': 67.33, 'Funnel Account Network': 32.35, 'Third-Party Payment Web': 0.13}",transaction_amount (-1.22) | acct_fraud_rate_hist (0.51) | cp_fraud_rate_hist (-0.47)
TXN9DZ15JGJ7TDW3BM8,0.05,Low Risk,Charity Abuse,"{'Charity Abuse': 75.39, 'Funnel Account Network': 20.35, 'Structuring (Smurfing)': 3.08}",transaction_amount (-1.24) | transaction_status (0.33) | community_risk_x_amount (-0.24)
TXNFG7P12YCN2ZXRV8O,0.08,Low Risk,Funnel Account Network,"{'Funnel Account Network': 50.73, 'Charity Abuse': 42.94, 'Money Mule Network': 2.48}",cp_fraud_rate_hist (0.66) | transaction_mode_channel_bank (0.47) | transaction_status (0.41)
TXNCDAX6LN3OSKV85ZU,0.01,Low Risk,Charity Abuse,"{'Charity Abuse': 53.29, 'Funnel Account Network': 44.3, 'Structuring (Smurfing)': 1.72}",transaction_amount (-1.43) | transaction_status (0.34) | cp_fraud_rate_hist (-0.29)
TXNR3DW7Z6VUYHFB2CI,0.1,Low Risk,Funnel Account Network,"{'Funnel Account Network': 43.02, 'Charity Abuse': 31.93, 'Structuring (Smurfing)': 23.08}",transaction_amount (-0.82) | acct_fraud_rate_hist (0.68) | transaction_status (0.34)
TXNLSG0KCIU01ILUBDZ,0.06,Low Risk,Funnel Account Network,"{'Funnel Account Network': 46.82, 'Structuring (Smurfing)': 30.49, 'Charity Abuse': 18.96}",transaction_amount (-1.21) | transaction_status (0.32) | community_risk_x_amount (-0.28)
TXNVF85F87W40V9YFM0,0.07,Low Risk,Charity Abuse,"{'Charity Abuse': 46.9, 'Funnel Account Network': 41.49, 'Structuring (Smurfing)': 9.51}",transaction_amount (-1.31) | transaction_status (0.32) | community_risk_x_amount (-0.24)
TXNH5PEQO8KNT8SOOMX,0.03,Low Risk,Charity Abuse,"{'Charity Abuse': 63.69, 'Funnel Account Network': 26.47, 'Structuring (Smurfing)': 6.78}",transaction_amount (-1.43) | transaction_status (0.33) | transaction_mode_channel_bank (0.25)
TXNY6QGIDCBOEKGREUU,95.38,Critical Risk,Circular Transaction Loop,"{'Circular Transaction Loop': 31.05, 'Money Mule Network': 27.6, 'Rapid Multi-Hop Layering': 27.45}",transaction_amount (0.48) | transaction_status (0.40) | acct_fraud_rate_hist (0.30)
TXN6SD62P4AS3RI0H4J,0.01,Low Risk,Funnel Account Network,"{'Funnel Account Network': 53.82, 'Charity Abuse': 35.15, 'Structuring (Smurfing)': 9.9}",transaction_amount (-1.02) | acct_fraud_rate_hist (0.65) | cp_fraud_rate_hist (-0.36)
TXN7ZL21JA2U50MTJIC,0.02,Low Risk,Charity Abuse,"{'Charity Abuse': 78.29, 'Funnel Account Network': 21.33, 'Third-Party Payment Web': 0.14}",transaction_amount (-1.45) | acct_fraud_rate_hist (0.52) | cp_mean_amt_hist (-0.39)
TXNKYDMZZO1W7Z2ALT1,0.01,Low Risk,Rapid Multi-Hop Layering,"{'Rapid Multi-Hop Layering': 37.35, 'Money Mule Network': 31.95, 'Circular Transaction Loop': 22.06}",transaction_amount (0.61) | hr (-0.39) | transaction_status (0.38)
TXN1WQ80E26NKEFKIZZ,0.33,Low Risk,Money Mule Network,"{'Money Mule Network': 47.84, 'Circular Transaction Loop': 25.38, 'Rapid Multi-Hop Layering': 22.71}",transaction_amount (0.68) | transaction_status (0.39) | hr (-0.31)
TXNR5IQZU556ZWE7J6P,0.11,Low Risk,Circular Transaction Loop,"{'Circular Transaction Loop': 43.62, 'Rapid Multi-Hop Layering': 31.55, 'Money Mule Network': 20.01}",transaction_status (-6.40) | rule_attempted_failed (-0.44) | acct_fraud_rate_hist (0.20)
TXNWTZBFCTVJ8HZ24BZ,2.92,Low Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 64.98, 'Money Mule Network': 22.14, 'Circular Transaction Loop': 6.89}",transaction_amount (0.86) | transaction_mode_channel_bank (0.53) | transaction_status (0.42)
TXN7T9KNPCV85JQ11QS,0.01,Low Risk,Third-Party Payment Web,"{'Third-Party Payment Web': 52.93, 'Money Mule Network': 20.47, 'Circular Transaction Loop': 12.5}",transaction_amount (0.81) | cp_fraud_rate_hist (-0.48) | transaction_mode_channel_bank (0.43)
TXNOAARSR99TTLPR5YQ,0.05,Low Risk,Rapid Multi-Hop Layering,"{'Rapid Multi-Hop Layering': 53.79, 'Money Mule Network': 32.28, 'Funnel Account Network': 8.51}",transaction_amount (0.48) | transaction_mode_channel_bank (-0.43) | transaction_status (0.39)
